"Step","yolo_tomo_v1 - metrics/mAP_0.5","yolo_tomo_v1 - metrics/mAP_0.5__MIN","yolo_tomo_v1 - metrics/mAP_0.5__MAX","yDICOM4 - metrics/mAP_0.5","yDICOM4 - metrics/mAP_0.5__MIN","yDICOM4 - metrics/mAP_0.5__MAX","yDICOM3 - metrics/mAP_0.5","yDICOM3 - metrics/mAP_0.5__MIN","yDICOM3 - metrics/mAP_0.5__MAX"
"0","0.0000964951668178535","0.0000964951668178535","0.0000964951668178535","0","0","0","0.00011334696992216814","0.00011334696992216814","0.00011334696992216814"
"1","0","0","0","0","0","0","0.00009947022287175741","0.00009947022287175741","0.00009947022287175741"
"2","0.00011144669073782814","0.00011144669073782814","0.00011144669073782814","0.00035502716987855214","0.00035502716987855214","0.00035502716987855214","0","0","0"
"3","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0"
"6","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0.00020721330744071957","0.00020721330744071957","0.00020721330744071957"
"7","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0","0","0"
"8","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0","0","0"
"9","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0.0005519021865821251","0.0005519021865821251","0.0005519021865821251"
"10","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0.000654128819157721","0.000654128819157721","0.000654128819157721"
"11","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0.0003357546646028568","0.0003357546646028568","0.0003357546646028568"
"12","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0","0","0"
"13","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0","0","0"
"14","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0","0","0","0.00025543459677557234","0.00025543459677557234","0.00025543459677557234"
"15","0.00009551676731816011","0.00009551676731816011","0.00009551676731816011","0.000150995889323901","0.000150995889323901","0.000150995889323901","0.0002242191126114455","0.0002242191126114455","0.0002242191126114455"
"16","0","0","0","0","0","0","0.00014646458558107857","0.00014646458558107857","0.00014646458558107857"
"17","0","0","0","0","0","0","0.0009261724814840359","0.0009261724814840359","0.0009261724814840359"
"18","0","0","0","0.00015693771502777636","0.00015693771502777636","0.00015693771502777636","0.0005693440082644628","0.0005693440082644628","0.0005693440082644628"
"19","0","0","0","0","0","0","0.0005359889008955054","0.0005359889008955054","0.0005359889008955054"
"20","0","0","0","0.00020315781578157817","0.00020315781578157817","0.00020315781578157817","0.0008995736325846572","0.0008995736325846572","0.0008995736325846572"
"21","0","0","0","0.00021233455216951094","0.00021233455216951094","0.00021233455216951094","0.0009519321559713236","0.0009519321559713236","0.0009519321559713236"
"22","0","0","0","0.00015065562456866805","0.00015065562456866805","0.00015065562456866805","0.0003795393566904814","0.0003795393566904814","0.0003795393566904814"
"23","0","0","0","0","0","0","0.0005039279995490578","0.0005039279995490578","0.0005039279995490578"
"24","0","0","0","0.0001331875389650873","0.0001331875389650873","0.0001331875389650873","0.0004156481980494081","0.0004156481980494081","0.0004156481980494081"
"25","0","0","0","0","0","0","0.0003745126705653022","0.0003745126705653022","0.0003745126705653022"
"26","0","0","0","0.00021234225834832512","0.00021234225834832512","0.00021234225834832512","0.00046146367214041","0.00046146367214041","0.00046146367214041"
"27","0","0","0","0.00018216561928956638","0.00018216561928956638","0.00018216561928956638","0.00044711984263452146","0.00044711984263452146","0.00044711984263452146"
"28","0","0","0","0.0002463206227574044","0.0002463206227574044","0.0002463206227574044","0.0002426788400767339","0.0002426788400767339","0.0002426788400767339"
"29","0","0","0","0","0","0","0","0","0"
"30","0","0","0","0.0008512736286816784","0.0008512736286816784","0.0008512736286816784","0","0","0"
"31","0","0","0","0.0008517897799139894","0.0008517897799139894","0.0008517897799139894","0","0","0"
"32","0","0","0","0.0006952731751232706","0.0006952731751232706","0.0006952731751232706","0.0010918657565415245","0.0010918657565415245","0.0010918657565415245"
"33","0","0","0","0.0017950268817204297","0.0017950268817204297","0.0017950268817204297","0.0008987612749878108","0.0008987612749878108","0.0008987612749878108"
"34","0","0","0","0.0022194060267951054","0.0022194060267951054","0.0022194060267951054","0","0","0"
