"Step","yolo_tomo_v1 - train/box_loss","yolo_tomo_v1 - train/box_loss__MIN","yolo_tomo_v1 - train/box_loss__MAX","yDICOM4 - train/box_loss","yDICOM4 - train/box_loss__MIN","yDICOM4 - train/box_loss__MAX","yDICOM3 - train/box_loss","yDICOM3 - train/box_loss__MIN","yDICOM3 - train/box_loss__MAX"
"0","0.02984001487493515","0.02984001487493515","0.02984001487493515","0.03951549530029297","0.03951549530029297","0.03951549530029297","0.04066939651966095","0.04066939651966095","0.04066939651966095"
"1","0.03459761291742325","0.03459761291742325","0.03459761291742325","0.03797467425465584","0.03797467425465584","0.03797467425465584","0.044150080531835556","0.044150080531835556","0.044150080531835556"
"2","0.03305043652653694","0.03305043652653694","0.03305043652653694","0.048155318945646286","0.048155318945646286","0.048155318945646286","0.041748665273189545","0.041748665273189545","0.041748665273189545"
"3","0.030074603855609894","0.030074603855609894","0.030074603855609894","0.04011441394686699","0.04011441394686699","0.04011441394686699","0.050595834851264954","0.050595834851264954","0.050595834851264954"
"4","0.03047344461083412","0.03047344461083412","0.03047344461083412","0.04057888686656952","0.04057888686656952","0.04057888686656952","0.038849394768476486","0.038849394768476486","0.038849394768476486"
"5","0.035499703139066696","0.035499703139066696","0.035499703139066696","0.05716172978281975","0.05716172978281975","0.05716172978281975","0.045796263962984085","0.045796263962984085","0.045796263962984085"
"6","0.02684725634753704","0.02684725634753704","0.02684725634753704","0.04935231804847717","0.04935231804847717","0.04935231804847717","0.03658817708492279","0.03658817708492279","0.03658817708492279"
"7","0.02854200452566147","0.02854200452566147","0.02854200452566147","0.04209136590361595","0.04209136590361595","0.04209136590361595","0.04278969764709473","0.04278969764709473","0.04278969764709473"
"8","0.028804250061511993","0.028804250061511993","0.028804250061511993","0.04946725815534592","0.04946725815534592","0.04946725815534592","0.04412078484892845","0.04412078484892845","0.04412078484892845"
"9","0.03326629102230072","0.03326629102230072","0.03326629102230072","0.0472555086016655","0.0472555086016655","0.0472555086016655","0.041643012315034866","0.041643012315034866","0.041643012315034866"
"10","0.032963234931230545","0.032963234931230545","0.032963234931230545","0.05072065815329552","0.05072065815329552","0.05072065815329552","0.04794058948755264","0.04794058948755264","0.04794058948755264"
"11","0.03363125026226044","0.03363125026226044","0.03363125026226044","0.04771914333105087","0.04771914333105087","0.04771914333105087","0.05627929046750069","0.05627929046750069","0.05627929046750069"
"12","0.028090106323361397","0.028090106323361397","0.028090106323361397","0.05153888836503029","0.05153888836503029","0.05153888836503029","0.04745255783200264","0.04745255783200264","0.04745255783200264"
"13","0.030968308448791504","0.030968308448791504","0.030968308448791504","0.05101354420185089","0.05101354420185089","0.05101354420185089","0.04643583670258522","0.04643583670258522","0.04643583670258522"
"14","0.03788775950670242","0.03788775950670242","0.03788775950670242","0.053639642894268036","0.053639642894268036","0.053639642894268036","0.0541902631521225","0.0541902631521225","0.0541902631521225"
"15","0.031374190002679825","0.031374190002679825","0.031374190002679825","0.04753798991441727","0.04753798991441727","0.04753798991441727","0.05393636226654053","0.05393636226654053","0.05393636226654053"
"16","0.031817760318517685","0.031817760318517685","0.031817760318517685","0.05012265965342522","0.05012265965342522","0.05012265965342522","0.047617167234420776","0.047617167234420776","0.047617167234420776"
"17","0.035672154277563095","0.035672154277563095","0.035672154277563095","0.047519706189632416","0.047519706189632416","0.047519706189632416","0.04384098947048187","0.04384098947048187","0.04384098947048187"
"18","0.035453684628009796","0.035453684628009796","0.035453684628009796","0.039094291627407074","0.039094291627407074","0.039094291627407074","0.04175820201635361","0.04175820201635361","0.04175820201635361"
"19","0.02874411828815937","0.02874411828815937","0.02874411828815937","0.04288662597537041","0.04288662597537041","0.04288662597537041","0.04626985266804695","0.04626985266804695","0.04626985266804695"
"20","0.02886621281504631","0.02886621281504631","0.02886621281504631","0.046879224479198456","0.046879224479198456","0.046879224479198456","0.047011204063892365","0.047011204063892365","0.047011204063892365"
"21","0.029294278472661972","0.029294278472661972","0.029294278472661972","0.04097708687186241","0.04097708687186241","0.04097708687186241","0.04936768859624863","0.04936768859624863","0.04936768859624863"
"22","0.026716602966189384","0.026716602966189384","0.026716602966189384","0.04475896805524826","0.04475896805524826","0.04475896805524826","0.0481722392141819","0.0481722392141819","0.0481722392141819"
"23","0.025419780984520912","0.025419780984520912","0.025419780984520912","0.04705896973609924","0.04705896973609924","0.04705896973609924","0.042137451469898224","0.042137451469898224","0.042137451469898224"
"24","0.024258429184556007","0.024258429184556007","0.024258429184556007","0.043664246797561646","0.043664246797561646","0.043664246797561646","0.04385232552886009","0.04385232552886009","0.04385232552886009"
"25","0.02409709431231022","0.02409709431231022","0.02409709431231022","0.031390316784381866","0.031390316784381866","0.031390316784381866","0.04383482784032822","0.04383482784032822","0.04383482784032822"
"26","0.026093823835253716","0.026093823835253716","0.026093823835253716","0.0452478788793087","0.0452478788793087","0.0452478788793087","0.04163031652569771","0.04163031652569771","0.04163031652569771"
"27","0.0244949609041214","0.0244949609041214","0.0244949609041214","0.042693763971328735","0.042693763971328735","0.042693763971328735","0.04055797681212425","0.04055797681212425","0.04055797681212425"
"28","0.023290125653147697","0.023290125653147697","0.023290125653147697","0.045187029987573624","0.045187029987573624","0.045187029987573624","0.05125459283590317","0.05125459283590317","0.05125459283590317"
"29","0.02315695211291313","0.02315695211291313","0.02315695211291313","0.04828254133462906","0.04828254133462906","0.04828254133462906","0.04230168089270592","0.04230168089270592","0.04230168089270592"
"30","0.022332295775413513","0.022332295775413513","0.022332295775413513","0.05017982795834541","0.05017982795834541","0.05017982795834541","0.04185889661312103","0.04185889661312103","0.04185889661312103"
"31","0.022115051746368408","0.022115051746368408","0.022115051746368408","0.051811013370752335","0.051811013370752335","0.051811013370752335","0.04263118654489517","0.04263118654489517","0.04263118654489517"
"32","0.024156706407666206","0.024156706407666206","0.024156706407666206","0.04527963325381279","0.04527963325381279","0.04527963325381279","0.043043073266744614","0.043043073266744614","0.043043073266744614"
"33","0.02504015527665615","0.02504015527665615","0.02504015527665615","0.04539470374584198","0.04539470374584198","0.04539470374584198","0.04807589203119278","0.04807589203119278","0.04807589203119278"
"34","0.024323029443621635","0.024323029443621635","0.024323029443621635","0.044111426919698715","0.044111426919698715","0.044111426919698715","0.043973036110401154","0.043973036110401154","0.043973036110401154"
"35","0.027784965932369232","0.027784965932369232","0.027784965932369232","0.04602264612913132","0.04602264612913132","0.04602264612913132","0.03790463134646416","0.03790463134646416","0.03790463134646416"
"36","0.026372449472546577","0.026372449472546577","0.026372449472546577","0.049803923815488815","0.049803923815488815","0.049803923815488815","0.04430040344595909","0.04430040344595909","0.04430040344595909"
"37","0.021467508748173714","0.021467508748173714","0.021467508748173714","0.04218834638595581","0.04218834638595581","0.04218834638595581","0.04296952486038208","0.04296952486038208","0.04296952486038208"
"38","0.02316032163798809","0.02316032163798809","0.02316032163798809","0.04134645313024521","0.04134645313024521","0.04134645313024521","0.0406668446958065","0.0406668446958065","0.0406668446958065"
"39","0.02433169260621071","0.02433169260621071","0.02433169260621071","0.03727799281477928","0.03727799281477928","0.03727799281477928","0.03571050986647606","0.03571050986647606","0.03571050986647606"
"40","0.024668047204613686","0.024668047204613686","0.024668047204613686","0.05391887575387955","0.05391887575387955","0.05391887575387955","0.0427151583135128","0.0427151583135128","0.0427151583135128"
"41","0.021642422303557396","0.021642422303557396","0.021642422303557396","0.043618105351924896","0.043618105351924896","0.043618105351924896","0.040042102336883545","0.040042102336883545","0.040042102336883545"
"42","0.021417945623397827","0.021417945623397827","0.021417945623397827","0.045489951968193054","0.045489951968193054","0.045489951968193054","0.046516019850969315","0.046516019850969315","0.046516019850969315"
