"Step","yolo_tomo_v1 - metrics/recall","yolo_tomo_v1 - metrics/recall__MIN","yolo_tomo_v1 - metrics/recall__MAX","yDICOM4 - metrics/recall","yDICOM4 - metrics/recall__MIN","yDICOM4 - metrics/recall__MAX","yDICOM3 - metrics/recall","yDICOM3 - metrics/recall__MIN","yDICOM3 - metrics/recall__MAX"
"74","0.3","0.3","0.3","0.2","0.2","0.2","0.39901329901329907","0.39901329901329907","0.39901329901329907"
"75","0.3","0.3","0.3","0.19961533860904934","0.19961533860904934","0.19961533860904934","0.3","0.3","0.3"
"76","0.49894546287581115","0.49894546287581115","0.49894546287581115","0.3","0.3","0.3","0.3","0.3","0.3"
"77","0.4990632423468245","0.4990632423468245","0.4990632423468245","0.2996300648474562","0.2996300648474562","0.2996300648474562","0.2991425228044946","0.2991425228044946","0.2991425228044946"
"78","0.4997439445715308","0.4997439445715308","0.4997439445715308","0.2","0.2","0.2","0.4","0.4","0.4"
"79","0.39963157349727224","0.39963157349727224","0.39963157349727224","0.2","0.2","0.2","0.2","0.2","0.2"
"80","0.4","0.4","0.4","0.199946533564281","0.199946533564281","0.199946533564281","0.2","0.2","0.2"
"81","0.4","0.4","0.4","0.2","0.2","0.2","0.2","0.2","0.2"
"82","0.49351608018274684","0.49351608018274684","0.49351608018274684","0.2","0.2","0.2","0.2","0.2","0.2"
"83","0.5832756955205934","0.5832756955205934","0.5832756955205934","0.19988363104305135","0.19988363104305135","0.19988363104305135","0.3","0.3","0.3"
"84","0.49891647745306283","0.49891647745306283","0.49891647745306283","0.2992641007020092","0.2992641007020092","0.2992641007020092","0.3","0.3","0.3"
"85","0.49891647745306283","0.49891647745306283","0.49891647745306283","0.19996579444148085","0.19996579444148085","0.19996579444148085","0.3","0.3","0.3"
"86","0.3","0.3","0.3","0.3833333333333333","0.3833333333333333","0.3833333333333333","0.3","0.3","0.3"
"87","0.5","0.5","0.5","0.38301271932078773","0.38301271932078773","0.38301271932078773","0.2985826948443771","0.2985826948443771","0.2985826948443771"
"88","0.4996257368479591","0.4996257368479591","0.4996257368479591","0.3833333333333333","0.3833333333333333","0.3833333333333333","0.3","0.3","0.3"
"89","0.4991163070827641","0.4991163070827641","0.4991163070827641","0.3","0.3","0.3","0.3","0.3","0.3"
"90","0.4","0.4","0.4","0.39983674370612143","0.39983674370612143","0.39983674370612143","0.29949147142129595","0.29949147142129595","0.29949147142129595"
