"Step","yolo_tomo_v1 - metrics/precision","yolo_tomo_v1 - metrics/precision__MIN","yolo_tomo_v1 - metrics/precision__MAX","yDICOM4 - metrics/precision","yDICOM4 - metrics/precision__MIN","yDICOM4 - metrics/precision__MAX","yDICOM3 - metrics/precision","yDICOM3 - metrics/precision__MIN","yDICOM3 - metrics/precision__MAX"
"0","0.00044828931347085544","0.00044828931347085544","0.00044828931347085544","0","0","0","0.0004095840715247007","0.0004095840715247007","0.0004095840715247007"
"1","0","0","0","0","0","0","0.00044241835005745083","0.00044241835005745083","0.00044241835005745083"
"2","0.000544687280704843","0.000544687280704843","0.000544687280704843","0.001755907130258502","0.001755907130258502","0.001755907130258502","0","0","0"
"3","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0"
"6","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0.0009881912593922926","0.0009881912593922926","0.0009881912593922926"
"7","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0","0","0"
"8","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0","0","0"
"9","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0.0026222916220160638","0.0026222916220160638","0.0026222916220160638"
"10","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0.003117526170062402","0.003117526170062402","0.003117526170062402"
"11","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0.0016697703835384992","0.0016697703835384992","0.0016697703835384992"
"12","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0","0","0"
"13","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0","0","0"
"14","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0","0","0","0.0009538466128796917","0.0009538466128796917","0.0009538466128796917"
"15","0.0004589036513788622","0.0004589036513788622","0.0004589036513788622","0.0006337135614702154","0.0006337135614702154","0.0006337135614702154","0.0009544838322770977","0.0009544838322770977","0.0009544838322770977"
"16","0","0","0","0","0","0","0.00041288191577208916","0.00041288191577208916","0.00041288191577208916"
"17","0","0","0","0","0","0","0.0012576688177614725","0.0012576688177614725","0.0012576688177614725"
"18","0","0","0","0.0006567074211870911","0.0006567074211870911","0.0006567074211870911","0.0012875200891825764","0.0012875200891825764","0.0012875200891825764"
"19","0","0","0","0","0","0","0.0009151241631436634","0.0009151241631436634","0.0009151241631436634"
"20","0","0","0","0.0006188118811881188","0.0006188118811881188","0.0006188118811881188","0.0012396694214876034","0.0012396694214876034","0.0012396694214876034"
"21","0","0","0","0.0006203473945409429","0.0006203473945409429","0.0006203473945409429","0.0012458471760797341","0.0012458471760797341","0.0012458471760797341"
"22","0","0","0","0.0006211180124223603","0.0006211180124223603","0.0006211180124223603","0.0008298755186721991","0.0008298755186721991","0.0008298755186721991"
"23","0","0","0","0","0","0","0.0008319467554076539","0.0008319467554076539","0.0008319467554076539"
"24","0","0","0","0.0006234413965087282","0.0006234413965087282","0.0006234413965087282","0.0008431703204047217","0.0008431703204047217","0.0008431703204047217"
"25","0","0","0","0","0","0","0.0008771929824561404","0.0008771929824561404","0.0008771929824561404"
"26","0","0","0","0.0006211180124223603","0.0006211180124223603","0.0006211180124223603","0.0009000900090009","0.0009000900090009","0.0009000900090009"
"27","0","0","0","0.0006172839506172839","0.0006172839506172839","0.0006172839506172839","0.001017293997965412","0.001017293997965412","0.001017293997965412"
"28","0","0","0","0.0006172839506172839","0.0006172839506172839","0.0006172839506172839","0.0005452562704471102","0.0005452562704471102","0.0005452562704471102"
"29","0","0","0","0","0","0","0","0","0"
