"Step","yolo_tomo_v1 - train/obj_loss","yolo_tomo_v1 - train/obj_loss__MIN","yolo_tomo_v1 - train/obj_loss__MAX","yDICOM4 - train/obj_loss","yDICOM4 - train/obj_loss__MIN","yDICOM4 - train/obj_loss__MAX","yDICOM3 - train/obj_loss","yDICOM3 - train/obj_loss__MIN","yDICOM3 - train/obj_loss__MAX"
"0","1.4473907947540283","1.4473907947540283","1.4473907947540283","1.543492078781128","1.543492078781128","1.543492078781128","1.5637896060943604","1.5637896060943604","1.5637896060943604"
"1","0.6303616166114807","0.6303616166114807","0.6303616166114807","0.869541347026825","0.869541347026825","0.869541347026825","0.9080077409744263","0.9080077409744263","0.9080077409744263"
"2","0.3045271635055542","0.3045271635055542","0.3045271635055542","0.4465506374835968","0.4465506374835968","0.4465506374835968","0.45469430088996887","0.45469430088996887","0.45469430088996887"
"3","0.16501541435718536","0.16501541435718536","0.16501541435718536","0.2761331796646118","0.2761331796646118","0.2761331796646118","0.27100932598114014","0.27100932598114014","0.27100932598114014"
"4","0.09407969564199448","0.09407969564199448","0.09407969564199448","0.1813233196735382","0.1813233196735382","0.1813233196735382","0.17591601610183716","0.17591601610183716","0.17591601610183716"
"5","0.04996819421648979","0.04996819421648979","0.04996819421648979","0.12466579675674438","0.12466579675674438","0.12466579675674438","0.12142813950777054","0.12142813950777054","0.12142813950777054"
"6","0.023581430315971375","0.023581430315971375","0.023581430315971375","0.08875866234302521","0.08875866234302521","0.08875866234302521","0.08645513653755188","0.08645513653755188","0.08645513653755188"
"7","0.018310964107513428","0.018310964107513428","0.018310964107513428","0.059648141264915466","0.059648141264915466","0.059648141264915466","0.058328479528427124","0.058328479528427124","0.058328479528427124"
"8","0.01859903894364834","0.01859903894364834","0.01859903894364834","0.03702380880713463","0.03702380880713463","0.03702380880713463","0.03571663051843643","0.03571663051843643","0.03571663051843643"
"9","0.01862921006977558","0.01862921006977558","0.01862921006977558","0.025243649259209633","0.025243649259209633","0.025243649259209633","0.023709556087851524","0.023709556087851524","0.023709556087851524"
