"Step","yolo_tomo_v1 - train/cls_loss","yolo_tomo_v1 - train/cls_loss__MIN","yolo_tomo_v1 - train/cls_loss__MAX","yDICOM4 - train/cls_loss","yDICOM4 - train/cls_loss__MIN","yDICOM4 - train/cls_loss__MAX","yDICOM3 - train/cls_loss","yDICOM3 - train/cls_loss__MIN","yDICOM3 - train/cls_loss__MAX"
"0","0.005832179915159941","0.005832179915159941","0.005832179915159941","0.011516217142343521","0.011516217142343521","0.011516217142343521","0.007726145442575216","0.007726145442575216","0.007726145442575216"
"1","0.006244194228202105","0.006244194228202105","0.006244194228202105","0.011471846140921116","0.011471846140921116","0.011471846140921116","0.007573743816465139","0.007573743816465139","0.007573743816465139"
"2","0.0053906915709376335","0.0053906915709376335","0.0053906915709376335","0.013029636815190315","0.013029636815190315","0.013029636815190315","0.007915112189948559","0.007915112189948559","0.007915112189948559"
"3","0.0053872521966695786","0.0053872521966695786","0.0053872521966695786","0.011457656510174274","0.011457656510174274","0.011457656510174274","0.008578464388847351","0.008578464388847351","0.008578464388847351"
"4","0.005453956313431263","0.005453956313431263","0.005453956313431263","0.01098472811281681","0.01098472811281681","0.01098472811281681","0.007724990602582693","0.007724990602582693","0.007724990602582693"
"5","0.006579943001270294","0.006579943001270294","0.006579943001270294","0.013995680958032608","0.013995680958032608","0.013995680958032608","0.008578943088650703","0.008578943088650703","0.008578943088650703"
"6","0.004777691792696714","0.004777691792696714","0.004777691792696714","0.013739636167883873","0.013739636167883873","0.013739636167883873","0.006878609303385019","0.006878609303385019","0.006878609303385019"
"7","0.004865211434662342","0.004865211434662342","0.004865211434662342","0.01172946859151125","0.01172946859151125","0.01172946859151125","0.008048317395150661","0.008048317395150661","0.008048317395150661"
"8","0.005214702803641558","0.005214702803641558","0.005214702803641558","0.013445805758237839","0.013445805758237839","0.013445805758237839","0.008230078965425491","0.008230078965425491","0.008230078965425491"
"9","0.005814506206661463","0.005814506206661463","0.005814506206661463","0.012426437810063362","0.012426437810063362","0.012426437810063362","0.007545078173279762","0.007545078173279762","0.007545078173279762"
